#MamaBear,4 Rackets,Adrian A,Assistant Coach Riley?,Batman,Bay City Rollers,beach lady,Bevo's Best,Blind Dog's Bluff,Blindhog2017,Bobbo,Brothers before others,Bumblerooski,Clutch City,Coog Crew,Cowboy,cutie pie,D-Bo,Duke Rules,Eclipse,Em214,Escalante,GlamKam,Go For Bones,Go For Broke,Godiva Nine!,hapagirl,I lost the password to my first bracket,Jake and the Neverland Pirates,Josh's Bracket,Julez,Juul,Katyusha,Kevin's bracket,Lightning,Luck be a lady,Lucky in 2018,Make Bowl Season Great Again,Maui Girl,MidWestWheat,Nurse Ratched,OSUX3,Pepper Bear,Pooh Bear,Putin's Dog,Rapacke's Bracket,Nerf Herder,Santa Cruz Bill,Santa's Helper,Sgt. Pepper,Sorbet,Static,Still a Beaver Believer,Superman,Swampdonkey,Texas Big Red,The Pick Doctor,The Striker,The Water and The Well,Thunder,Trojans,Tucker,UrbranLegend,Victorious Secret,War Beaver,War Eagle,Warren Mooned Me,West Coast Bias,Winning Jeff,Yoda,YOLO Pups
U,F,U,U,F,F,F,F,F,U,U,F,U,F,F,F,U,U,U,U,U,F,U,U,F,F,U,F,U,U,U,U,F,F,U,F,F,F,F,F,F,F,F,U,U,F,F,U,U,U,F,F,F,F,F,F,F,F,F,F,F,F,U,F,U,U,U,F,F,U,U
U,F,F,F,F,FS,U,F,F,US,U,F,F,F,F,F,F,U,U,F,F,F,F,US,F,F,U,F,U,F,FS,U,US,F,U,F,U,F,F,F,U,U,F,U,US,U,F,F,U,F,F,F,U,U,F,F,F,F,FS,F,U,F,U,F,U,F,FS,FS,U,U,FS
F,U,U,F,F,F,U,F,F,U,F,F,U,F,F,U,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,FS,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F,U,F,F,F,F,F,F,U,F,U,F,F,F,FS,U,F,F,U,U,F
F,U,F,U,F,U,F,F,F,F,F,U,F,U,U,F,F,F,F,U,F,F,F,U,F,U,F,F,U,F,F,U,F,F,F,F,F,F,F,U,F,U,F,U,F,F,U,U,F,U,F,F,U,F,U,F,U,F,F,F,F,U,U,U,U,U,F,F,U,U,F
U,U,U,F,F,U,F,F,U,U,U,U,F,F,F,F,F,F,F,F,U,F,F,U,U,U,U,F,F,U,F,U,F,F,U,U,F,F,F,F,F,F,F,U,F,U,F,F,F,F,F,F,F,F,F,U,F,F,FS,F,F,U,U,U,F,F,F,F,F,F,F
F,U,F,F,U,F,F,F,F,U,F,U,F,F,U,F,F,F,FS,F,F,U,U,U,U,F,F,F,F,U,U,F,U,F,F,U,U,U,F,F,F,U,F,U,U,F,F,F,U,U,F,F,F,U,U,F,U,F,F,F,F,U,U,U,U,F,U,U,U,U,F
F,U,U,U,F,F,U,F,U,F,F,U,F,U,U,F,U,U,U,U,F,F,US,U,F,F,US,U,F,U,U,US,F,U,U,F,U,F,F,F,U,U,F,U,F,U,F,F,U,U,F,F,F,F,U,U,U,U,U,F,F,F,U,F,F,U,U,U,F,F,U
FS,FS,F,F,FS,FS,FS,FS,F,F,FS,U,FS,FS,FS,FS,F,U,U,FS,FS,FS,F,F,FS,FS,F,FS,FS,FS,F,FS,F,FS,FS,F,U,FS,FS,F,F,F,FS,U,FS,F,FS,FS,FS,F,FS,FS,FS,FS,FS,U,F,FS,FS,FS,F,FS,U,F,F,FS,FS,F,U,F,F
F,F,F,F,U,F,U,U,U,F,U,U,F,U,F,F,F,F,F,U,F,U,F,F,U,F,US,F,F,F,F,U,F,F,F,F,F,F,U,F,U,F,F,U,F,U,F,F,F,U,F,U,U,F,U,F,F,F,F,F,U,U,F,F,F,F,F,U,U,U,F
F,F,F,F,U,F,F,F,U,F,F,F,U,U,F,U,F,F,U,U,F,U,U,U,U,F,U,F,U,F,F,U,U,F,F,U,F,U,F,U,F,F,F,U,U,F,U,U,F,U,F,F,F,U,U,F,F,F,U,F,F,U,U,F,F,F,U,F,F,F,F
US,U,U,U,F,F,U,U,F,U,U,F,U,F,F,U,U,US,U,U,F,FS,U,F,FS,U,U,U,FS,F,U,U,F,U,U,U,U,U,U,F,U,U,F,U,F,F,U,U,U,U,F,F,F,U,U,U,U,F,U,F,U,FS,U,U,U,U,F,U,F,U,U
U,U,U,F,U,U,F,F,US,U,U,F,U,U,U,U,U,U,F,U,F,U,U,U,U,U,F,F,U,F,F,U,US,F,U,F,U,U,U,U,U,U,F,U,U,US,F,U,U,U,F,F,U,U,U,U,F,F,U,U,U,U,U,U,F,F,U,U,FS,U,F
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,U,F,F,U,F,FS,F,F,F,F,F,F,F,F,U,F,F,U,U,F,F,F,U,U,FS,F,U,F,F,F,F,F,U,F,U,U,F,U,F,F,F,U,F,FS,F,F,F,U,F,F,F,F,F,F
U,U,F,F,U,F,F,F,U,F,F,F,U,U,U,U,F,U,US,F,F,U,F,U,U,U,U,U,U,F,U,U,U,F,U,FS,F,U,F,U,U,F,F,U,U,F,F,U,U,U,F,U,U,U,U,U,U,U,F,F,F,U,F,U,U,U,F,U,FS,U,F
U,F,F,F,U,U,U,F,U,F,U,F,F,U,F,F,U,F,U,U,F,U,U,U,U,U,U,F,F,U,F,U,F,U,U,U,U,U,F,U,F,F,F,U,U,U,F,U,U,U,F,F,F,F,F,F,U,U,U,F,U,U,U,U,F,U,U,F,U,F,U
F,U,U,U,F,F,F,U,U,U,U,U,F,F,F,U,F,F,U,F,F,F,F,U,F,F,U,F,U,U,U,F,U,U,F,F,U,U,U,F,F,U,F,U,U,F,F,U,U,F,F,U,F,U,U,F,F,U,F,F,U,F,U,F,U,U,US,U,U,F,U
F,U,F,U,F,F,FS,F,F,F,F,U,F,F,F,F,F,F,U,F,F,F,F,F,F,F,F,F,U,U,U,U,F,F,F,F,FS,F,U,U,U,U,F,U,F,F,FS,F,F,U,F,FS,F,U,U,F,F,F,U,F,U,F,U,F,U,U,F,U,F,U,U
U,F,F,F,F,F,F,U,F,F,F,F,F,F,F,FS,F,U,U,F,F,F,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F,FS,F,F,FS,F,F,U,F,U,F,F,F,F,F,F,FS,FS,F,FS,F,F,F,F,F,F,F,FS,F,F,F,F,F,U,F
F,F,F,U,F,U,F,F,U,U,U,U,U,U,U,U,F,U,U,U,U,F,U,U,F,U,F,F,F,U,F,F,F,U,U,F,U,U,F,F,U,F,F,U,F,F,F,U,F,U,F,F,F,U,U,U,F,F,U,F,U,F,F,U,U,U,F,U,U,F,F
U,F,F,F,FS,U,F,F,U,U,F,F,F,F,F,F,FS,U,U,F,F,F,F,U,F,F,U,FS,F,F,FS,F,F,F,U,F,FS,F,F,F,U,FS,F,U,F,F,U,U,F,U,F,F,U,U,F,U,F,F,F,F,U,F,F,F,U,F,U,U,FS,FS,U
U,F,F,U,F,F,F,U,U,US,F,U,F,F,F,U,FS,US,U,F,U,F,U,U,F,F,F,F,F,U,F,U,F,F,F,F,U,F,F,U,F,F,F,U,F,F,F,F,U,F,F,U,F,U,F,U,F,F,U,F,U,F,U,FS,U,FS,F,F,F,F,F
U,U,F,U,F,F,F,U,F,U,U,U,F,F,F,U,U,F,U,U,F,F,F,F,F,F,U,F,F,U,F,F,F,U,F,F,U,U,F,U,U,F,F,US,F,F,F,U,U,U,F,U,F,U,F,U,U,F,U,F,F,F,U,F,U,U,F,U,U,U,F
U,U,U,U,U,F,F,F,F,F,F,F,U,U,U,U,F,U,F,U,U,U,U,F,F,F,U,U,F,U,F,U,U,F,F,F,F,U,U,U,U,U,F,US,F,F,U,U,F,US,F,F,F,U,F,F,F,F,U,F,F,F,F,F,U,U,F,U,U,U,F
F,F,F,F,F,F,U,F,F,U,F,U,F,F,F,F,F,F,U,F,F,F,F,F,F,F,F,F,F,F,U,F,F,F,U,U,U,F,F,U,F,U,F,U,F,F,F,F,U,F,F,F,U,F,F,F,F,F,F,F,U,F,U,FS,U,F,U,U,U,U,F
F,FS,FS,F,F,F,F,F,FS,F,F,F,F,FS,FS,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,FS,F,FS,F,F,FS,F,F,F,U,F,F,F,F,F,U,F,F,FS,F,F,F,F,F,F,F,F,F,F,F,F,FS,F,FS,U,U,U
F,FS,FS,FS,F,U,FS,F,F,F,FS,FS,F,F,U,F,FS,U,F,FS,FS,F,FS,F,U,FS,F,F,F,FS,U,F,F,FS,F,F,F,F,FS,U,FS,F,F,U,F,FS,F,FS,F,F,FS,F,F,F,FS,FS,FS,F,F,FS,U,U,F,F,F,F,F,F,U,F,FS
U,U,F,U,U,F,U,F,U,U,F,U,U,F,F,U,F,F,U,F,F,U,U,F,F,F,U,U,F,U,F,F,F,U,F,U,U,U,F,FS,U,F,F,U,U,U,F,U,F,F,F,U,U,U,F,F,U,U,F,F,U,U,U,F,F,F,U,F,U,U,F
U,U,US,FS,U,F,F,F,F,US,U,F,U,F,U,F,F,F,U,U,F,U,F,F,U,U,U,F,U,U,F,U,F,F,U,F,U,F,F,U,U,US,F,U,F,FS,F,U,U,U,F,F,U,F,F,F,F,U,U,F,F,U,U,F,F,U,U,U,F,US,U
U,U,F,F,U,F,U,F,F,F,F,F,F,U,F,F,U,U,U,F,F,F,U,F,U,U,US,F,F,F,FS,F,F,U,U,F,U,F,F,U,F,U,FS,U,F,F,F,U,U,FS,F,F,U,F,F,U,U,F,F,F,F,U,U,U,U,F,F,U,F,US,FS
Oklahoma,Oklahoma,Alabama,Georgia,Oklahoma,Alabama,Clemson,Alabama,Georgia,Oklahoma,Oklahoma,Alabama,Oklahoma,Clemson,Alabama,Alabama,Clemson,Georgia,Alabama,Oklahoma,Alabama,Oklahoma,Clemson,Alabama,Oklahoma,Clemson,Georgia,Alabama,Alabama,Alabama,Alabama,Oklahoma,Alabama,Georgia,Alabama,Georgia,Oklahoma,Alabama,Alabama,Clemson,Alabama,Oklahoma,Alabama,Clemson,Alabama,Georgia,Georgia,Oklahoma,Clemson,Alabama,Oklahoma,Georgia,Oklahoma,Alabama,Georgia,Georgia,Clemson,Alabama,Alabama,Alabama,Alabama,Clemson,Clemson,Georgia,Georgia,Oklahoma,Clemson,Oklahoma,Oklahoma,Clemson,Alabama
No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes
No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
132,124,110,122,149,94,100,127,154,103,108,120,115,130 ,140,79,74,79,140,120,120,140,120,161,111,90,122,69,64,133,96,110,147,100,120,106,90,72,125,115,120,120,70,75,154,101,102,111,59,96,130,115,120,75,108,100,119,945,112,120,79,154,85,165,90,75,145,89,5027,61,110
